sample_id,timestep,throughput_mbps,channel_occupancy_percent,latency_ms,jitter_ms,tx_retries_delta,tx_failed_delta,rssi_dbm,rssi_delta_db,rssi_moving_avg_dbm,label,scenario
1,6,0.00048747197036170425,0.06659999999999996,0.4051724137931034,0.049999999999999996,0.13043478260869565,0.13043478260869565,0.7692307692307693,0.48,0.8079142621599342,0,normal_idle
1,7,0.0002924831822170225,0.13319999999999993,0.3103448275862069,0.07142857142857142,0.0,0.0,0.8461538461538461,0.52,0.8244023083264633,0,normal_idle
1,8,0.0,0.2,0.06896551724137931,0.014285714285714285,0.0,0.0,0.8461538461538461,0.48,0.8408903544929925,0,normal_idle
1,9,0.0010724383347957493,0.13319999999999993,0.28448275862068967,0.10714285714285712,0.043478260869565216,0.043478260869565216,0.8461538461538461,0.48,0.8573784006595221,0,normal_idle
2,0,0.0007799551525787268,0.13319999999999993,0.34482758620689646,0.02857142857142857,0.17391304347826086,0.17391304347826086,0.7692307692307693,0.48,0.8285243198680957,0,normal_idle
2,1,0.00048747197036170425,0.06659999999999996,0.07758620689655173,0.014285714285714285,0.0,0.0,0.7692307692307693,0.48,0.8244023083264633,0,normal_idle
2,2,0.0,0.2,0.3534482758620689,0.12857142857142856,0.0,0.0,0.7692307692307693,0.48,0.8079142621599342,0,normal_idle
2,3,0.0,0.13319999999999993,0.3362068965517241,0.07142857142857142,0.0,0.0,0.7692307692307693,0.48,0.8079142621599342,0,normal_idle
2,4,0.0,0.13319999999999993,0.37068965517241376,0.03571428571428571,0.0,0.0,0.7692307692307693,0.48,0.8079142621599342,0,normal_idle
2,5,0.00048747197036170425,0.06659999999999996,0.4051724137931034,0.049999999999999996,0.13043478260869565,0.13043478260869565,0.7692307692307693,0.48,0.8079142621599342,0,normal_idle
2,6,0.0002924831822170225,0.13319999999999993,0.3103448275862069,0.07142857142857142,0.0,0.0,0.8461538461538461,0.52,0.8244023083264633,0,normal_idle
2,7,0.0,0.2,0.06896551724137931,0.014285714285714285,0.0,0.0,0.8461538461538461,0.48,0.8408903544929925,0,normal_idle
2,8,0.0010724383347957493,0.13319999999999993,0.28448275862068967,0.10714285714285712,0.043478260869565216,0.043478260869565216,0.8461538461538461,0.48,0.8573784006595221,0,normal_idle
